1008034,鬼卞
12023517,宫阁
1044203,郭旭
2852,郭富城
5311,苟瀚中
2868,关喆
13497197,高尔宣
1177230,Gill Chang
168010,葛林
12213153,梁根荣
2963,高安
13080288,关大洲
2922,郭德纲
2848,郭峰
13058582,跟风超人
2874,顾峰
2861,关楚耀
2863,高进
2853,关正杰
12399037,国风Dom.T
1041024,GNS耀耀
2870,甘仕良
2959,根呷
12332258,郭麒麟
2892,高林生
12197292,高泰宇
27889345,官鸿
11974118,郭子睿
13973042,谷嘉诚
2947,国蛋
13228424,023 GC
2862,龚一
2856,高枫
2850,顾嘉辉
2859,管平湖
2844,古天乐
1049033,高铭
12998047,郭思达
3007,郭少杰
2846,高明骏
2875,郭浩男
2987,郭一凡
13497261,谷江山
2851,郭子
12023557,高旗
1043146,光合唱片
1124172,高文强
27695695,国哥
2867,哏德全
2885,光头李进
820439,谷柏杉
1132850,顾稚蔚
2962,格茸农布
12475595,高晓攀
3042,高正洋
2953,高鹏
30315465,顾振遐
2887,高向鹏
2979,格杰白玛
12931831,高火火
2994,尕让邓真
2841,高晓松
2857,高凌风
2878,顾海滨
1137380,官云康
2928,高夫
12370146,关力瑒
2946,刮刮乐
3020,过江龙
2847,郭伟亮
2931,关峡
3029,高信
1053246,郭纯
2912,郭炳坚
1049027,郭京飞
2911,郭颂
2969,关泽楠
187480,高英杰
30472245,郭力
2899,关贵敏
12073830,葛笑
2871,广智
2890,恭硕良
905095,嘎玛西周
2945,歌浴森
975574,GrymeMan
2960,高韶青
12274269,高华阳
3031,关栋天
894013,郭瑞
223846,高以翔
908209,Gordon扬豆仔
1132304,郭好为
861777,华晨宇
3066,胡彦斌
3064,胡歌
3249,河图
1049179,Hanser
1177014,韩安旭
12065096,黄旭
3273,胡夏
3071,郝云
12598950,RA
3063,黄义达
3073,黄凯芹
3058,后弦
3348,回音哥
1025202,黄子韬
3256,黄明志
3079,黄品源
3421,黄勇
3415,霍尊
3072,韩磊
3086,海鸣威
3081,胡伟立
13159024,海来阿木
30471284,何野
3118,黑龙
1011192,黑羊
3272,韩庚
1006030,洪尘
12773144,韩沐伯
3059,黄霑
1049349,胡碧乔
3255,黄渤
3337,黄艺明
12488022,黄榕生
3082,黄安
1081579,黄雨篱
839761,何流
3094,黄晓明
13059437,黄新淳
12915311,浩纹
3085,韩寒
3330,胡鸿钧
3224,洪楗华
